sentence,verb,context,factP,modal,person,conditional
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,can,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,can,1,True
I can believe the sky is red.,believe,Do you believe the sky is red?,0,can,1,False
I can believe the sky is red.,believe,Do you believe the sky is red?,0,can,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,can,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,can,1,True
I can believe the sky is blue.,believe,Do you believe the sky is blue?,1,can,1,False
I can believe the sky is blue.,believe,Do you believe the sky is blue?,1,can,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,could,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,could,1,True
I could believe the sky is red.,believe,Do you believe the sky is red?,0,could,1,False
I could believe the sky is red.,believe,Do you believe the sky is red?,0,could,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,could,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,could,1,True
I could believe the sky is blue.,believe,Do you believe the sky is blue?,1,could,1,False
I could believe the sky is blue.,believe,Do you believe the sky is blue?,1,could,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,might,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,might,1,True
I might believe the sky is red.,believe,Do you believe the sky is red?,0,might,1,False
I might believe the sky is red.,believe,Do you believe the sky is red?,0,might,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,might,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,might,1,True
I might believe the sky is blue.,believe,Do you believe the sky is blue?,1,might,1,False
I might believe the sky is blue.,believe,Do you believe the sky is blue?,1,might,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,will,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,will,1,True
I will believe the sky is red.,believe,Do you believe the sky is red?,0,will,1,False
I will believe the sky is red.,believe,Do you believe the sky is red?,0,will,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,will,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,will,1,True
I will believe the sky is blue.,believe,Do you believe the sky is blue?,1,will,1,False
I will believe the sky is blue.,believe,Do you believe the sky is blue?,1,will,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,would,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,would,1,True
I would believe the sky is red.,believe,Do you believe the sky is red?,0,would,1,False
I would believe the sky is red.,believe,Do you believe the sky is red?,0,would,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,would,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,would,1,True
I would believe the sky is blue.,believe,Do you believe the sky is blue?,1,would,1,False
I would believe the sky is blue.,believe,Do you believe the sky is blue?,1,would,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,should,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,should,1,True
I should believe the sky is red.,believe,Do you believe the sky is red?,0,should,1,False
I should believe the sky is red.,believe,Do you believe the sky is red?,0,should,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,should,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,should,1,True
I should believe the sky is blue.,believe,Do you believe the sky is blue?,1,should,1,False
I should believe the sky is blue.,believe,Do you believe the sky is blue?,1,should,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,shall,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,shall,1,True
I shall believe the sky is red.,believe,Do you believe the sky is red?,0,shall,1,False
I shall believe the sky is red.,believe,Do you believe the sky is red?,0,shall,1,False
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,shall,1,True
"If I believe the sky is blue, then I went for a run.",believe,Do you believe the sky is blue?,1,shall,1,True
I shall believe the sky is blue.,believe,Do you believe the sky is blue?,1,shall,1,False
I shall believe the sky is blue.,believe,Do you believe the sky is blue?,1,shall,1,False
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,ought to,1,True
"If I believe the sky is red, then I went for a run.",believe,Do you believe the sky is red?,0,ought to,1,True
I ought to believe the sky is red.,believe,Do you believe the sky is red?,0,ought to,1,False
I ought to believe the sky is red.,believe,Do you believe the sky is red?,0,ought to,1,False
